date,province_thai,province_eng,region_thai,region_eng,variable,value
2020-01-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,ratio_tourist_stay,61.79
2020-01-01,ตาก,Tak ,ภาคเหนือ,north,ratio_tourist_stay,75.73
2020-01-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,ratio_tourist_stay,69.01
2020-01-01,พะเยา,Phayao ,ภาคเหนือ,north,ratio_tourist_stay,66.44
2020-01-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,ratio_tourist_stay,72.11
2020-01-01,แพร่,Phrae ,ภาคเหนือ,north,ratio_tourist_stay,69.13
2020-01-01,ลำปาง,Lampang ,ภาคเหนือ,north,ratio_tourist_stay,72.29
2020-01-01,ลำพูน,Lamphun ,ภาคเหนือ,north,ratio_tourist_stay,60.46
2020-01-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,ratio_tourist_stay,69.36
2020-01-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,ratio_tourist_stay,60.58
2020-01-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,ratio_tourist_stay,49.78
2020-01-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,ratio_tourist_stay,66.86
2020-01-01,น่าน,Nan ,ภาคเหนือ,north,ratio_tourist_stay,82.98
2020-01-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,50.42
2020-01-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,57.25
2020-01-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,61.26
2020-01-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,63.13
2020-01-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,73.36
2020-01-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,65.4
2020-01-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,54.73
2020-01-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,61.12
2020-01-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,58.69
2020-01-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,72.31
2020-01-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,ratio_tourist_stay,65.69
2020-01-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,58.12
2020-01-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,70.08
2020-01-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,72.86
2020-01-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,83.19
2020-01-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,71.5
2020-01-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,64.41
2020-01-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,50.85
2020-01-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,58.36
2020-01-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,53.36
2021-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,ratio_tourist_stay,7.54
2021-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,ratio_tourist_stay,20.48
2021-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,ratio_tourist_stay,18.16
2021-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,ratio_tourist_stay,19.05
2021-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,ratio_tourist_stay,16.13
2021-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,ratio_tourist_stay,16.53
2021-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,ratio_tourist_stay,11.82
2021-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,ratio_tourist_stay,5.38
2021-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,ratio_tourist_stay,5.83
2021-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,ratio_tourist_stay,7.81
2021-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,ratio_tourist_stay,5.52
2021-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,ratio_tourist_stay,0.0
2021-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,ratio_tourist_stay,4.82
2021-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,ratio_tourist_stay,16.89
2021-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,ratio_tourist_stay,12.86
2021-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,ratio_tourist_stay,3.38
2021-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,ratio_tourist_stay,8.62
2021-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,ratio_tourist_stay,20.38
2021-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,ratio_tourist_stay,10.62
2021-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,ratio_tourist_stay,0.92
2021-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,ratio_tourist_stay,0.0
2021-01-01,ตราด,Trat ,ภาคตะวันออก,east,ratio_tourist_stay,1.23
2021-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,ratio_tourist_stay,28.56
2021-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,ratio_tourist_stay,24.02
2021-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,ratio_tourist_stay,7.04
2021-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,ratio_tourist_stay,19.81
2021-01-01,ภูเก็ต,Phuket ,ภาคใต้,south,ratio_tourist_stay,2.45
2021-01-01,พัทลุง,Phatthalung ,ภาคใต้,south,ratio_tourist_stay,22.52
2021-01-01,ตรัง,Trang ,ภาคใต้,south,ratio_tourist_stay,15.33
2021-01-01,ระนอง,Ranong ,ภาคใต้,south,ratio_tourist_stay,10.31
2021-01-01,ชุมพร,Chumphon ,ภาคใต้,south,ratio_tourist_stay,12.48
2021-01-01,ปัตตานี,Pattani ,ภาคใต้,south,ratio_tourist_stay,19.4
2021-01-01,ยะลา,Yala ,ภาคใต้,south,ratio_tourist_stay,15.14
2021-01-01,นครศรีธรรมราช,Nakhon Si Thammarat ,ภาคใต้,south,ratio_tourist_stay,25.73
2021-01-01,นราธิวาส,Narathiwat ,ภาคใต้,south,ratio_tourist_stay,10.57
2021-01-01,กระบี่,Krabi ,ภาคใต้,south,ratio_tourist_stay,4.21
2021-01-01,สงขลา,Songkhla ,ภาคใต้,south,ratio_tourist_stay,11.36
2021-01-01,พังงา,Phang Nga ,ภาคใต้,south,ratio_tourist_stay,8.45
2021-01-01,สุราษฎร์ธานี,Surat Thani ,ภาคใต้,south,ratio_tourist_stay,5.57
2021-01-01,สตูล,Satun ,ภาคใต้,south,ratio_tourist_stay,17.49
2021-01-01,กำแพงเพชร,Kamphaeng Phet ,ภาคเหนือ,north,ratio_tourist_stay,12.88
2021-01-01,เชียงราย,Chiang Rai ,ภาคเหนือ,north,ratio_tourist_stay,22.97
2021-01-01,เชียงใหม่,Chiang Mai ,ภาคเหนือ,north,ratio_tourist_stay,20.75
2021-01-01,พิจิตร,Phichit ,ภาคเหนือ,north,ratio_tourist_stay,23.34
2021-01-01,นครสวรรค์,Nakhon Sawan ,ภาคเหนือ,north,ratio_tourist_stay,23.62
2021-01-01,ตาก,Tak ,ภาคเหนือ,north,ratio_tourist_stay,13.18
2021-01-01,พิษณุโลก,Phitsanulok ,ภาคเหนือ,north,ratio_tourist_stay,28.52
2021-01-01,พะเยา,Phayao ,ภาคเหนือ,north,ratio_tourist_stay,19.43
2021-01-01,เพชรบูรณ์,Phetchabun ,ภาคเหนือ,north,ratio_tourist_stay,16.81
2021-01-01,แพร่,Phrae ,ภาคเหนือ,north,ratio_tourist_stay,11.0
2021-01-01,ลำปาง,Lampang ,ภาคเหนือ,north,ratio_tourist_stay,23.98
2021-01-01,ลำพูน,Lamphun ,ภาคเหนือ,north,ratio_tourist_stay,20.96
2021-01-01,แม่ฮ่องสอน,Mae Hong Son ,ภาคเหนือ,north,ratio_tourist_stay,13.48
2021-01-01,อุตรดิตถ์,Uttaradit ,ภาคเหนือ,north,ratio_tourist_stay,16.39
2021-01-01,อุทัยธานี,Uthai Thani ,ภาคเหนือ,north,ratio_tourist_stay,23.25
2021-01-01,สุโขทัย,Sukhothai ,ภาคเหนือ,north,ratio_tourist_stay,17.25
2021-01-01,น่าน,Nan ,ภาคเหนือ,north,ratio_tourist_stay,10.52
2021-01-01,กาฬสินธุ์,Kalasin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,20.19
2021-01-01,ขอนแก่น,Khon Kaen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,22.88
2021-01-01,ชัยภูมิ,Chaiyaphum ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,19.51
2021-01-01,นครพนม,Nakhon Phanom ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,26.15
2021-01-01,นครราชสีมา,Nakhon Ratchasima ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,31.58
2021-01-01,บุรีรัมย์,Buriram ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,30.33
2021-01-01,มหาสารคาม,Maha Sarakham ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,15.38
2021-01-01,มุกดาหาร,Mukdahan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,19.93
2021-01-01,ร้อยเอ็ด,Roi Et ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,30.32
2021-01-01,เลย,Loei ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,9.13
2021-01-01,ศรีสะเกษ,Sisaket ,ภาคใต้,south,ratio_tourist_stay,30.18
2021-01-01,สุรินทร์,Surin ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,24.48
2021-01-01,หนองคาย,Nong Khai ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,12.74
2021-01-01,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,16.93
2021-01-01,อุดรธานี,Udon Thani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,18.31
2021-01-01,อุบลราชธานี,Ubon Ratchathani ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,30.53
2021-01-01,สกลนคร,Sakon Nakhon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,16.81
2021-01-01,ยโสธร,Yasothon ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,28.22
2021-01-01,อำนาจเจริญ,Amnat Charoen ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,26.61
2021-01-01,หนองบัวลำภู,Nong Bua Lamphu ,ภาคตะวันออกเฉียงเหนือ,east_northeast,ratio_tourist_stay,4.73
2022-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,ratio_tourist_stay,26.34
2022-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,ratio_tourist_stay,38.59
2022-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,ratio_tourist_stay,45.43
2022-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,ratio_tourist_stay,37.38
2022-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,ratio_tourist_stay,35.66
2022-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,ratio_tourist_stay,38.83
2022-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,ratio_tourist_stay,33.27
2022-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,ratio_tourist_stay,22.74
2022-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,ratio_tourist_stay,33.81
2022-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,ratio_tourist_stay,24.17
2022-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,ratio_tourist_stay,24.74
2022-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,ratio_tourist_stay,24.3
2022-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,ratio_tourist_stay,29.47
2022-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,ratio_tourist_stay,48.44
2022-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,ratio_tourist_stay,57.17
2022-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,ratio_tourist_stay,43.34
