name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
STUDIO-WIFI-RAIN SHOWER-SATHORN,Marvin,Sathon,13.71922,100.5255,Private room,1736,1,3,356
Luxury Riverview Teakwood Apartment-Great Views :),Maam & Hermann,Yan na wa,13.67317,100.54406,Hotel room,1558,2,1,361
1 Bed Pool Access Onnut BTS,Nisa,Suanluang,13.71119,100.63334,Entire home/apt,970,21,2,272
River Side Luxury View,Jahidul,Yan na wa,13.70497,100.55134,Private room,2500,1,1,364
BKK Center Fab studio1150 free wifi,Wimonpak,Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,41,162
Loft by the Church w kitchen/wifi near Sathon,Wimonpak,Bang Kho laen,13.70218,100.52254,Entire home/apt,670,2,41,347
9. Bangkok Mini Stylish Studio 205,Wimonpak,Bang Kho laen,13.70039,100.52806,Entire home/apt,720,1,41,359
"Beautiful Apt @ Ratchayothin BTS, Free Wifi",Nokina,Chatu Chak,13.82841,100.57103,Entire home/apt,1004,2,2,0
New and Modern Spacious Apartment,Preeda,Phra Khanong,13.6937,100.59897,Entire home/apt,1385,3,1,364
Hip Studio ♥ Of BKK+River+BTS+WIFI,Bee,Sathon,13.71278,100.5156,Entire home/apt,811,2,7,304
Condo QUATTRO @Thonglor Near BTS,Arika,Vadhana,13.72873,100.58039,Entire home/apt,2000,7,3,62
Big quiet Studio for weekly monthly long term Stay,Lily Duangdao,Sathon,13.720317,100.54586,Private room,1629,4,7,82
BH : Double Room - Near BTS,Kriengkrai,Sathon,13.71659,100.51588,Private room,835,1,7,365
Suite with Balcony,Kriengkrai,Sathon,13.71655,100.51384,Private room,926,1,7,365
Room + Shared Shower Room near BTS,Kriengkrai,Sathon,13.71496,100.51406,Private room,866,1,7,365
BANGKOK HUB Studio Room+Shower Room,Kriengkrai,Sathon,13.718,100.51573,Private room,650,1,7,365
BANGKOK HUB : Standard Double Room,Kriengkrai,Sathon,13.71662,100.51572,Shared room,866,1,7,365
Great location on a charming loft,Andrea,Bang Rak,13.72687,100.52326,Entire home/apt,5887,30,1,358
phiyapa,Psirivedin,Don Mueang,13.9277,100.58757,Private room,1250,1,1,365
Spacious 2 Bedroom Apartment near BTS-non smoking,Suchada,Phaya Thai,13.7736,100.54079,Entire home/apt,2571,3,4,342
Private Studio Bed Room Walkable from BTS Ari,Nattha,Phaya Thai,13.77808,100.5416,Entire home/apt,1000,120,1,323
Stunning 24th Fl Terrace Penthouse!,Mike,Chatu Chak,13.80994,100.5651,Entire home/apt,4156,30,1,348
CityCenter BTS Ari AREE FastWifi+Kitchen+SwimPool,Tayawat,Phaya Thai,13.77776,100.54353,Entire home/apt,3847,9,1,167
Deluxe Condo at perfect location 2-0,Gerd,Vadhana,13.73757,100.55996,Entire home/apt,1485,3,3,130
Wow! Entire 3 story house in Bangkok,VeeZa,Dusit,13.77537,100.52383,Entire home/apt,2814,1,1,154
✴✴Colorful Room with Soaring Views in Center BKK✴✴,Evan,Sathon,13.72062,100.54707,Entire home/apt,707,1,37,346
Brand New room near Airport Railway,Urcha,Bang Kapi,13.75056,100.60844,Private room,1316,5,1,364
State tower riverview 42th freewifi,Anchana,Bang Rak,13.72225,100.51642,Private room,2061,30,4,365
1Br riverview 42th State tower wifi,Anchana,Bang Rak,13.72221,100.51568,Private room,2061,30,4,365
"Cozy Studio by BTS: Wifi, Pool #2",Feb,Phra Khanong,13.69821,100.60626,Entire home/apt,600,120,6,244
☀ ☼Sky bedroom with a smooth life view☼☀,Evan,Sathon,13.72061,100.54706,Entire home/apt,750,1,37,344
Transit DMK & Not far from Impact,NiNew,Lak Si,13.88974,100.56257,Private room,800,1,4,353
✬Sweet Dreams in the Center of Bangkok@Sky House✬,Evan,Sathon,13.72062,100.54709,Entire home/apt,693,1,37,349
F/F Studio APT For Rent. ARI BTS.,Taweewat  (Ken),Phaya Thai,13.78148,100.54868,Private room,1088,2,2,365
Big Jacuzzi+BTS/BRT+wifi 100mbps,Kinifrog,Thon buri,13.71699,100.4783,Entire home/apt,2000,7,19,354
1 BR Near BTS WIFI/POOL/FITNESS (B),Feb,Bang Na,13.67926,100.61655,Entire home/apt,808,29,6,317
Studio ๏ Affordable comfort,Sarasinee,Phaya Thai,13.78887,100.56009,Entire home/apt,500,30,1,365
Cosy 1 bed room service apartment!,Avinash,Din Daeng,13.78777,100.56551,Entire home/apt,866,1,1,365
Hip Luxury Apt in Best Location,Andrew,Parthum Wan,13.74088,100.54102,Entire home/apt,3097,12,1,54
Metro view of studio near BTS Ari,Tam,Phaya Thai,13.78686,100.54951,Entire home/apt,850,30,1,362
"1 bedroom apartment, Center Bangkok",Egidio,Sathon,13.72109,100.53915,Entire home/apt,1212,300,3,271
"Top of ""Old Siam""- 17th floor views",Melissa And Kurt,Phra Nakhon,13.76473,100.49718,Entire home/apt,935,30,1,255
Furnished studio 5min from Skytrain,Suchela,Phaya Thai,13.78761,100.55319,Entire home/apt,623,365,2,365
"Bangkok View, Luxurious 1 bedroom,Sathorn.",Chok,Sathon,13.70644,100.52544,Entire home/apt,1212,21,2,365
"Private Room@Chatuchak,BTS,JJ market,DMK airport",Apipu,Phaya Thai,13.79221,100.54631,Private room,399,1,1,0
U Delight  @ Jatujak Station,Atsanai,Chatu Chak,13.79844,100.55726,Entire home/apt,591,365,1,365
1BR River view 19th State tower,Anchana,Bang Rak,13.72007,100.51711,Private room,1300,30,4,365
Le Siam heritage Residence,Anchana,Bang Rak,13.72063,100.51611,Private room,1300,30,4,365
