name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
ะีนสอ 2,서령,Suanluang,13.7256,100.63836,Entire home/apt,7374,1,2,365
曼谷小清新独立单间，Bangkok Sukhumvit Road Fresh Apartment,Oscar,Bang Na,13.68062,100.60727,Private room,507,1,1,356
Parn Tagdanai,Tagdanai,Bang Khae,13.70974,100.38159,Entire home/apt,700,1,1,179
นพกรณ์ แมนชั่น Noppakorn Mansion,Noppakorn,Lat Phrao,13.81852,100.59248,Entire home/apt,450,450,1,364
30days! AirportLink Sukhumvit NANA MaxValu 2BR(4P),Curry,Ratchathewi,13.74902,100.55581,Entire home/apt,3994,3,228,349
"Private room (BTS Asok) , Sukhumvit 18 (all new)",Kittichai,Khlong Toei,13.73331,100.56155,Private room,900,6,2,361
BangJak IDEO,Suky,Vadhana,13.73849,100.56077,Entire home/apt,3500,1,1,363
Long Stay Resort Condo in the Heart of Bangkok,Parnkae,Parthum Wan,13.74795,100.52715,Entire home/apt,1886,30,1,212
"E2 - Lovely 3 BR, Family Choice, Sukhumvit BTS!",Sara,Vadhana,13.72816,100.58927,Entire home/apt,3200,4,22,153
Metro Sky¹畅享城市风景,Charles,Bang Sue,13.82113,100.53765,Entire home/apt,518,120,28,186
Metro Sky²高层城市景观,Charles,Bang Sue,13.82173,100.53577,Entire home/apt,386,100,28,181
"3 Bedr PENTHOUSE 30FL Balcony RIVER View, IconSiam",Harry,Khlong San,13.72301,100.50936,Entire home/apt,8048,2,1,232
New!  La Chada Night Market studio 2PPL near MRT,Curry,Huai Khwang,13.77272,100.58113,Entire home/apt,1000,1,228,0
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.77293,100.58149,Entire home/apt,1057,1,228,0
Haven fevergangster,Chatuphum,Phaya Thai,13.78915,100.55466,Entire home/apt,2500,3,1,89
Rooftop pool gym luxury cozy condo  Free Wifi @BTS,Xu,Khlong Toei,13.72645,100.56795,Entire home/apt,1385,9,24,115
Rooftop pool gym luxury cozy condo  BTSphromphong,Xu,Khlong Toei,13.72441,100.56576,Entire home/apt,1761,1,24,156
Private room. Private bathroom. Safe & Clean. WIFI,Jiaranai (Angel),Bang Khen,13.85924,100.66056,Private room,550,3,2,180
Vintage HONEYMOON SUITE  in Bangkok old town,Jason,Phra Nakhon,13.757,100.50468,Hotel room,6600,1,6,291
Vintage GARDEN SUITE in Bangkok old town,Jason,Phra Nakhon,13.757,100.50468,Hotel room,5400,1,6,286
Vintage LOFT SUITE in Bangkok old town,Jason,Phra Nakhon,13.757,100.50468,Hotel room,5400,1,6,311
Vintage LOFT SUITE in Bangkok old town,Jason,Phra Nakhon,13.757,100.50468,Hotel room,4800,1,6,310
Rooftop pool gym luxury cozy condo  BTSphromphong,Xu,Khlong Toei,13.72599,100.56594,Entire home/apt,1746,1,24,149
Vintage TWIN ROOM in Bangkok old town,Jason,Phra Nakhon,13.757,100.50468,Hotel room,4000,1,6,317
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.7664,100.58467,Entire home/apt,1057,1,228,0
TKF CONDO,Bundit,Phra Khanong,13.70319,100.59875,Entire home/apt,3000,2,1,364
Super king size bed-high floor @Thonglor5,Chutima S.,Vadhana,13.73153,100.57917,Entire home/apt,2500,7,1,289
Luxury 1BR with LG Cinema Projector on Soi 11,Cassandra,Vadhana,13.7451,100.55797,Entire home/apt,1665,2,2,311
Two-person garden apartment with rich vegetation,Unbgw,Dusit,13.79051,100.51916,Private room,3580,1,1,365
🥇月租|50%BTS TongLo 2min疫情居家办公全景玻璃大一房/阳台/办公区/厨房/wifi,Magic,Khlong Toei,13.7214,100.57758,Entire home/apt,2514,1,33,354
Rooftop pool gym luxury cozy 2 bedroom 60sqm @BTS,Xu,Khlong Toei,13.7254,100.56872,Entire home/apt,2894,1,24,152
1BR Apartment with hotel service 150 meters to MRT,Chumpol,Huai Khwang,13.77852,100.57504,Entire home/apt,1300,14,1,307
everything  new FACILITY/ all CLEAN/phromphong5MIN,Steve,Khlong Toei,13.72476,100.56673,Entire home/apt,2078,30,1,365
1 Bedroom Executive · 1 Bedroom Executive · His...,Panitchaya,Khlong Toei,13.73787,100.55206,Hotel room,3621,1,22,57
"1 Min walk from BTS Thonglo, free WiFi",Patty,Khlong Toei,13.7259,100.57566,Entire home/apt,1550,1,39,51
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.76581,100.58689,Entire home/apt,1000,1,228,0
New!  La Chada Night Market studio 2PPL near MRT,Curry,Huai Khwang,13.7656,100.58601,Entire home/apt,1000,1,228,0
Service Apt Sukhumvit 30 (500m. to Emquartier/BTS),Mo,Khlong Toei,13.72765,100.57155,Entire home/apt,1350,2,10,323
Hardcover condo by Chao Phraya River,Rain,Bang Phlat,13.80091,100.50838,Entire home/apt,1500,21,26,138
Use taxis,Cjjyr,Sai Mai,13.90045,100.64567,Private room,3386,1,1,365
โรงแรมเกอเธ่,Werner,Vadhana,13.74192,100.5896,Entire home/apt,775,1,1,0
🥇月租|50%🚇ThongLo 2mi疫情居家办公全景落地玻璃花园景大两房两卫一厅带浴缸厨房阳台,Magic,Khlong Toei,13.72147,100.5772,Entire home/apt,2980,1,33,324
Family Room with Best view of Old town Bangkok,Feung Nakorn,Phra Nakhon,13.74888,100.49884,Hotel room,2000,1,1,365
Good location to walk to various attractions,Mcuxw,Phra Nakhon,13.75526,100.5009,Private room,3570,1,1,365
"Hot! Entire Apt,14Pax 5Bath JJ Market 9min-MRT/BTS",Piti,Chatu Chak,13.79989,100.55484,Entire home/apt,3836,2,3,53
"7. SELF CHECK-IN, Great Spot, Skytrain & Subway",Neerita (Palm),Khlong Toei,13.73202,100.56406,Private room,649,7,8,328
Suwannabhumi airport,San,Saphan Sung,13.73853,100.66335,Private room,3500,1,1,365
⭐PopArt Lover | KING BED (Lumpini park + Netflix)⭐,Natalie,Parthum Wan,13.73922,100.5394,Entire home/apt,1600,14,13,204
"Bright, Spacious 2-bedroom Thonglor closest to all",Nichapat,Vadhana,13.73153,100.58252,Entire home/apt,4502,1,1,0
Cozy Studio 1 in Sathorn (BTS Saint Louis),Pattamaporn,Sathon,13.71668,100.52958,Entire home/apt,1100,10,1,26
Your Don Muang Lantern Suites Apartment,Komkeeree,Lak Si,13.87591,100.55079,Entire home/apt,795,1,3,302
Quiet placeNear floating market Near the Airport,Nareerat,Lat Krabang,13.7702,100.72103,Private room,6980,1,1,0
New!  La Chada Night Market studio 2PPL near MRT,Curry,Huai Khwang,13.77102,100.57965,Entire home/apt,1000,1,228,0
Chapter one river view by chalita.,Chalita,Rat Burana,13.68322,100.50376,Entire home/apt,3000,1,1,120
BKK Cozy Private 1BD Room @ Heart of Chatuchak,Jeenie,Chatu Chak,13.84116,100.54747,Entire home/apt,700,28,22,358
Unify Bangkae Hotel,สาคร,Bang Khae,13.70919,100.38342,Private room,855,1,1,364
Bed with Best Breakfast in OLD TOWN,Sasi,Phra Nakhon,13.74949,100.49862,Hotel room,561,1,24,362
"Ladies your bed is here, Best Bed& Breakfast",Sasi,Phra Nakhon,13.7495,100.49901,Hotel room,561,1,24,356
Sukhumvit50 酒店式公寓 【开间】双床房 bts onnut,Hua,Khlong Toei,13.70573,100.59963,Entire home/apt,743,2,20,103
Quality Sleep in Best Location Old Town BKK+SUBWAY,Sasi,Phra Nakhon,13.74749,100.49848,Hotel room,530,1,24,364
Private Quad shared Bath** FULL BREAKFAST**,Sasi,Phra Nakhon,13.7475,100.49874,Hotel room,1600,1,24,358
Private 6BEDs in Best Location of OLD TOWN BANGKOK,Sasi,Phra Nakhon,13.74827,100.49883,Hotel room,2699,1,24,0
"Perfect for Big Group, near GRAND PALACE",Sasi,Phra Nakhon,13.74762,100.49819,Hotel room,3200,1,24,361
"ISSARA, Double room shared bath+FULL BREAKFAST",Sasi,Phra Nakhon,13.74977,100.49869,Hotel room,1349,1,24,321
PomPom’s Home,Chaichan,Bang Na,13.66341,100.62421,Private room,850,1,1,175
月租|50%看日出日落全景玻璃落地窗1.5房带大阳台/大餐厅/厨房/全景玻璃窗客厅/全景工作区25F,Magic,Ratchathewi,13.75147,100.5572,Entire home/apt,2266,25,33,330
Brand new condominium - IDEO Ramkhamheang,Lucy,Bang Kapi,13.748527,100.606293,Entire home/apt,793,14,1,318
M·叁 曼谷摩天轮夜市/湄南河/四面佛/帕蓬夜市/大皇宫,Min,Bang Kho laen,13.70206,100.49937,Entire home/apt,1189,2,2,58
Wans house,Wans,Huai Khwang,13.76583,100.58688,Shared room,350,1,19,365
WANS HOUSE 8인실 (단체 1인 이상 예약가능),Wans,Huai Khwang,13.7658,100.58702,Shared room,350,1,19,364
WANS HOUSE 8,Wans,Huai Khwang,13.76694,100.5848,Shared room,350,1,19,365
วรบูลย์  Residence อ่อนนุช,Savitri,Phra Khanong,13.69925,100.63304,Entire home/apt,3400,1,1,360
"Bright & cosy apartment, high floor, river view",Arwut,Yan na wa,13.67908,100.52773,Entire home/apt,1500,1,1,0
City Delight,Riverview,Samphanthawong,13.73443,100.51199,Entire home/apt,2407,1,21,60
8/ Luxury living sky pool 5mins walk BTS Asok Nana,Luke,Khlong Toei,13.736,100.55671,Entire home/apt,1912,2,9,192
"DOUBLE AIRPORT 10MIN, NICE VIEW ROOFTOP",Jirayu,Lat Krabang,13.71943,100.75399,Hotel room,633,1,4,338
Manhastan Park Resident,Panicha,Bang Na,13.65606,100.61066,Private room,800,3,1,365
65 sqm 1 BR APT Big balcony- Lumpini MRT/Park,Bee,Sathon,13.71855,100.54742,Entire home/apt,2650,1,29,302
Oriental Charm Double Bed,Riverview,Samphanthawong,13.7343,100.51186,Entire home/apt,2758,1,21,63
WANS HOUSE 8인실,Wans,Huai Khwang,13.76766,100.58541,Shared room,350,1,19,365
wanshouse 8인실,Wans,Huai Khwang,13.76694,100.585,Shared room,350,1,19,365
WANS HOUSE 8인실 (1인 이상 예약가능),Wans,Huai Khwang,13.76751,100.58558,Shared room,350,1,19,365
★Comfotable mini  2 BD penthouse ★ EKKAMAI,Suthasinee,Vadhana,13.72262,100.58537,Entire home/apt,3500,1,4,166
2 Bunk beds in Private Room 5min Phrom Phong BTS,Oneday,Khlong Toei,13.7277,100.57064,Hotel room,1180,1,3,365
♡Oriental Sunny Sukhumvit Studio @ BTS&Food market,Evan,Bang Na,13.65934,100.60578,Entire home/apt,1100,1,37,349
"Bed in 4 Mixed Dorm, 5min from Phrom Phom BTS",Oneday,Khlong Toei,13.72783,100.57128,Hotel room,560,1,3,365
30% Bangkok Hideaway Near BTS&Local Market fr WiFi,Alex,Phra Khanong,13.69818,100.60857,Entire home/apt,685,5,36,283
"Bed in shared room, 5mins from Phrom Phom BTS",Oneday,Khlong Toei,13.72755,100.57084,Hotel room,410,1,3,365
曼谷市中心高层公园景观！2公里内素坤逸路Aosk/四面佛/暹罗广场//21航站/ram9网红火车夜市,Yi,Ratchathewi,13.74954,100.55656,Entire home/apt,1643,28,10,55
Jess's apartment,Bcryk,Chatu Chak,13.83188,100.58493,Private room,3377,1,1,365
Spacious | Relaxing★2BD kitchen | living | terrace,Suthasinee,Vadhana,13.72262,100.58537,Entire home/apt,4674,3,4,123
Tuk Tuk House 4 Bedrooms | 250m from MRT Sirikit,G Living,Khlong Toei,13.7209,100.56213,Entire home/apt,4700,2,32,326
★2 BD kitchen | living | balcony ★ 5 Ekkamai,Suthasinee,Vadhana,13.72439,100.58015,Entire home/apt,4825,3,4,160
Cozy Serithai for 2 People/20 mins to Suvarnabhumi,Prangsiri,Khan Na Yao,13.79352,100.68452,Entire home/apt,1400,2,4,365
Sukhumvit 24 Home For You.,Chidchanok,Khlong Toei,13.72537,100.56716,Private room,3999,1,1,364
New!  La Chada Night Market studio 2PPL near MRT,Curry,Huai Khwang,13.76687,100.5867,Entire home/apt,1000,1,228,0
"★Studio with Garden, 2 Bed upto 5 ★ 250m to BTS",Suthasinee,Vadhana,13.72439,100.58015,Entire home/apt,1500,3,4,59
30days! AirportLink Sukhumvit NANA MaxValu 2BR(4P),Curry,Ratchathewi,13.75115,100.55573,Entire home/apt,2527,3,228,358
30days! Sukhumvit NANA spacious 1BR  near BTS,Curry,Ratchathewi,13.75071,100.55633,Entire home/apt,1466,3,228,341
X网红小区The Tree Rio精装修魔幻梦想,Charles,Bang Phlat,13.7992,100.50661,Entire home/apt,1480,90,28,365
"2-bedroom flat, great views, close to Bumrungrad",Michael,Khlong Toei,13.73754,100.55321,Entire home/apt,1212,3,1,157
Sky pool网红小区仅月租,Charles,Bang Phlat,13.80082,100.50649,Entire home/apt,500,90,28,335
LUXURY 1BED CONDO_BTS PHROM PHONG_MIN 1 MONTH_WIFI,James N.,Khlong Toei,13.7242,100.57121,Entire home/apt,900,365,1,364
State tower/Si lom,Grischtana,Bang Rak,13.72482,100.52611,Entire home/apt,3117,1,2,0
Brand New Condominium Near MRT,Hanna,Chatu Chak,13.81317,100.57762,Private room,650,30,2,216
"Skytrain, Sathorn, Asiatique, Iconsiam, PoolGym",Sunny,Sathon,13.71017,100.52107,Entire home/apt,2000,2,11,324
Funky-Thai near DMK Airport/IMPACT/Gov Complex,ColorfulEnglish,Lak Si,13.89089,100.5651,Private room,464,4,2,136
Donmuang Tree Home,Vichian,Don Mueang,13.91535,100.5887,Private room,3300,1,1,365
"Plus+！Sukhumvit comfortable 1BR Free pool, gym",Demo,Khlong Toei,13.70519,100.5931,Entire home/apt,1020,2,7,145
"Special! Comfortable!  1BR Free pool, gym, Wi-Fi",Demo,Khlong Toei,13.70363,100.59161,Entire home/apt,1121,5,7,156
Bright Corner Studio - City view - Near Ari BTS,Kanomping,Phaya Thai,13.78359,100.5474,Entire home/apt,1529,1,11,332
Joyful & Modern Home. Safe area with foods & 7-11,Metapon,Din Daeng,13.7646484375,100.56599426269533,Entire home/apt,8957,1,1,220
Private House SK93 * feel like stay @ home 中文服务,Yos,Phra Khanong,13.70171,100.62059,Private room,700,3,1,0
*LUX* Silom Condo❤Cloud Pool❤WiFi❤BTS❤Shopping,B,Bang Rak,13.7269,100.52764,Entire home/apt,3462,5,16,130
Family Room for 3 at khaosan road hotel+ Breakfast,Kiattisak,Phra Nakhon,13.75479,100.50519,Private room,1999,1,53,365
曼谷 都市森林 日式温泉两室一厅 两卫 /公寓,Summer,Khlong Toei,13.71689,100.57727,Entire home/apt,2605,5,25,82
Big Comfort room with RiverView on CharoenkrungRd.,Krissana,Sathon,13.71485,100.51107,Entire home/apt,930,1,3,87
wanshouse 6인실,Wans,Huai Khwang,13.76747,100.58555,Shared room,350,1,19,365
wanshouse6인실,Wans,Huai Khwang,13.76776,100.58647,Shared room,350,1,19,365
Clean Apartment near Airport rail link Tab Chang,Peach,Pra Wet,13.7293,100.70067,Entire home/apt,700,10,1,53
wanshouse6인실,Wans,Huai Khwang,13.76708,100.58666,Shared room,350,1,19,365
wanshouse6인실,Wans,Huai Khwang,13.76569,100.58513,Shared room,350,1,19,365
WANS HOUSE 6인실 (1인 이상 예약가능),Wans,Huai Khwang,13.76541,100.58613,Shared room,350,1,19,365
"The hight floor , 湄南河景超一线",Charles,Bang Phlat,13.79992,100.50629,Entire home/apt,1000,60,28,364
WANS HOUSE 6인실 (1인 이상 예약가능),Wans,Huai Khwang,13.7656,100.58498,Shared room,350,1,19,365
Y网红小区The Tree Rio 美好享受,Charles,Bang Phlat,13.80064,100.50815,Entire home/apt,1380,100,28,365
New stylish Apartment in the heart of Bangkok,Lamyai,Vadhana,13.74211,100.55768,Entire home/apt,1085,3,1,303
WANS HOUSE 8인실 (1인 예약가능),Wans,Huai Khwang,13.76718,100.58658,Shared room,350,1,19,365
WANS HOUSE 4인실 (1인 예약전용),Wans,Huai Khwang,13.76726,100.58516,Shared room,350,1,19,365
WANS HOUSE 4인실 (1인 예약전용),Wans,Huai Khwang,13.76758,100.58608,Shared room,350,1,19,365
wanshouse 4인실 (1인이상 예약가능),Wans,Huai Khwang,13.76763,100.5865,Shared room,350,1,19,365
wanshouse 4인실 (1인이상 예약가능),Wans,Huai Khwang,13.76693,100.58702,Shared room,350,1,19,365
"Cozy place, 5 minutes walk to Central Rama9 & MRT",YourCoach,Din Daeng,13.75898,100.56059,Entire home/apt,1200,1,1,181
A13 每客消毒~温馨双人公寓/泳池健身房/近翁聿地铁/交通方便/直达各个区域景点,Camila,Khlong Toei,13.70315,100.59332,Entire home/apt,971,28,30,54
"1BR Citycentral Apt, chatuchak weekend market",Grischtana,Chatu Chak,13.79985,100.54954,Entire home/apt,2078,1,2,0
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.76547,100.58683,Entire home/apt,1057,1,228,0
YU-HENG House / Central of Bangkok Old City.,Phurich,Phra Nakhon,13.74803,100.49797,Entire home/apt,2459,2,1,204
New!  La Chada Night Market studio 2PPL near MRT,Curry,Huai Khwang,13.76566,100.58645,Entire home/apt,1000,1,228,0
Large balcony bedroom spacious and comfortable,Wfhwe,Phra Khanong,13.68802,100.60743,Private room,3251,1,1,365
Rama9.Pretty swimming Pool GYM. Luxurious New,Ruby,Bang Kapi,13.74782,100.60623,Hotel room,600,28,5,341
Rooftop pool gym luxury cozy studio@ BTSphromphong,Xu,Khlong Toei,13.72553,100.56628,Entire home/apt,1746,1,24,159
"8. SELF CHECK-IN, Urban Area, Skytrain & Subway",Neerita (Palm),Khlong Toei,13.72998,100.56415,Private room,649,7,8,356
"Breezy Haus In Asoke  (Pool, walk to BTS/MRT) # I",Max,Khlong Toei,13.72845,100.56006,Entire home/apt,9429,2,36,74
The director's home - NaNa Bts 5mins,Live&Stay,Vadhana,13.74095,100.55578,Entire home/apt,4997,1,11,316
"Breezy Haus  In Asoke (Pool, walk to BTS/MRT) II",Max,Khlong Toei,13.72985,100.55976,Entire home/apt,10500,2,36,108
How do we 2,은영,Yan na wa,13.6765,100.54694,Entire home/apt,3687,1,10,365
More from3,은영,Yan na wa,13.67725,100.54527,Entire home/apt,3687,1,10,365
More from4,은영,Yan na wa,13.67674,100.54754,Entire home/apt,3687,1,10,365
"Elio Sukhumvit64 Bangkok , 5 min to BTS Punnawithi",Teeranart,Phra Khanong,13.68451,100.60513,Entire home/apt,750,1,2,175
More from5,은영,Yan na wa,13.67769,100.54722,Entire home/apt,3687,1,10,365
Hap@Sathorn located in sathorn district.,Piphat,Sathon,13.72023,100.548203,Private room,1286,1,26,364
--Hap@Sathorn [Cheap and clean]--,Piphat,Sathon,13.720214,100.548203,Private room,1286,1,26,357
More from6,은영,Yan na wa,13.6759,100.54687,Entire home/apt,3687,1,10,365
More from7,은영,Yan na wa,13.67604,100.54747,Entire home/apt,3687,1,10,365
C10 每客消毒~温馨双人公寓/曼谷大学对面/EKKAMAI BTS/5分钟车程,Camila,Khlong Toei,13.71257,100.57902,Entire home/apt,1083,1,30,54
More from8,은영,Yan na wa,13.67583,100.54736,Entire home/apt,3687,1,10,365
More from8,은영,Yan na wa,13.67789,100.54675,Entire home/apt,3687,1,10,365
"Modern Double Bed, near Government Complex, 15 mins from DMK Int'l Airport",Narra,Lak Si,13.89295,100.5619,Hotel room,2714,1,4,0
More from10,은영,Yan na wa,13.67753,100.54552,Entire home/apt,3687,1,10,365
30days!  Sukhumvit NANA spacious 1BR 2PPL near BTS,Curry,Ratchathewi,13.75116,100.55604,Entire home/apt,1466,3,228,351
"Modern Twin Bedroom near Government Complex, 15 mins from DMK Airport",Narra,Lak Si,13.89249,100.56189,Hotel room,2714,1,4,0
Modern Double Bedroom with Breakfast 15 mins from DMK Airport,Narra,Lak Si,13.89261,100.5617,Private room,3564,1,4,0
Lee Thong House ll near MRT 170m and Yaowarat 300m,Apiwat,Pom Prap Sattru Phai,13.7445,100.5108,Entire home/apt,905,2,1,138
Jharkhand3,도현,Huai Khwang,13.77462,100.57749,Entire home/apt,3687,1,1,365
Located in the Jewelry Business community,Rafiudeen Kursheed,Bang Rak,13.72801,100.52416,Private room,3500,1,1,365
⭐The Retro Rebel (Lumpini park + Netflix)⭐,Natalie,Parthum Wan,13.74038,100.5396,Entire home/apt,1600,28,13,89
ว่กดส,Gyuhun,Ratchathewi,13.75323,100.54477,Entire home/apt,7374,1,1,365
Mind Day Hostel Khaosan Female Dormitory 女宿舍,Mindday,Phra Nakhon,13.7612,100.49699,Hotel room,432,1,6,365
Bangkok Centre/BTS PhraKhanong 450m/Deluxe,Kelvin,Khlong Toei,13.7113,100.59223,Hotel room,900,1,3,321
超现代主义No.4/火车头夜市/四面佛/大皇宫,Jack,Huai Khwang,13.76901,100.57312,Entire home/apt,740,365,9,364
The regent home by Nutty,Nutty,Phra Khanong,13.70303,100.60798,Entire home/apt,1200,2,1,177
2 Mins. walk from BTS Phra Khanong,Natat,Vadhana,13.7163,100.59327,Private room,1290,1,8,365
"Private blue and white stylish house, 4Br 3Bathr.",Tan,Phaya Thai,13.78356,100.54422,Entire home/apt,8143,1,1,326
A21 每客消毒~温馨双人房~泳池健身房WIFI~ON NUT BTS,Camila,Khlong Toei,13.70368,100.59321,Entire home/apt,1042,28,30,54
A11 每客消毒~on nut-BTS ♥双人房~gym&泳池&wifi&会中文哦~,Camila,Khlong Toei,13.70306,100.59304,Entire home/apt,1034,28,30,54
Exclusive Family room  For 4 Person,Bhumipat,Phaya Thai,13.78576,100.53725,Hotel room,1800,1,4,365
Jintana Residence @Ari 01,Phisit,Phaya Thai,13.77396,100.53224,Hotel room,678,1,11,57
Lost In Thailand Huay kwang Heaven Place,Krittin,Huai Khwang,13.77158,100.58047,Private room,850,300,1,165
Deluxe King Size Bed Room,Bhumipat,Phaya Thai,13.78553,100.53819,Hotel room,1000,1,4,365
New*Stylish 2BR Suite City Center/Pratunam,Kaem,Ratchathewi,13.75058,100.53634,Entire home/apt,3600,1,9,0
Silom City Hotel Bangkok_Superior Room,Silom City,Bang Rak,13.72551,100.5235,Hotel room,1099,1,4,364
Casa De Takumi (Couple Room1),Sandy,Khlong Toei,13.71553,100.58753,Private room,800,1,3,180
A30 每客消毒~♥ WIFI+swimming pool+Gym,Camila,Khlong Toei,13.70332,100.59314,Entire home/apt,1034,28,30,54
Cozy Place Urban Style Kaset–Nawamin,Marcos,Bueng Kum,13.82362,100.63065,Entire home/apt,350,25,1,36
small1,Soo,Don Mueang,13.92072,100.57578,Shared room,350,1,4,180
C05 每客消毒~ EKKAMAI BTS丨曼谷大学在对面丨高速WIFI丨健身房游泳池,Camila,Khlong Toei,13.71102,100.5786,Entire home/apt,1083,1,30,54
Kory Place,Ko Teerasak,Suanluang,13.74523,100.63401,Private room,800,1,7,364
"Comfortably @Nana alley Sukhumvit Road, Bangkok.",Panrada,Vadhana,13.74634,100.55367,Entire home/apt,943,4,2,288
บ้านราชพฤกษ์ หทัยราษฎร์,Phinnapa,Khlong Sam Wa,13.85202,100.72675,Entire home/apt,3400,1,1,365
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.77098,100.58005,Entire home/apt,1057,1,228,0
F6.0新房特惠/豪华单间/曼谷市中心/双轨交汇/ Asok/MRT素空逸/T21商场/网红无边泳池,Shin,Khlong Toei,13.73678,100.55711,Entire home/apt,1671,1,21,90
Silom City Hotel Bangkok_Deluxe Room Only,Silom City,Bang Rak,13.72672,100.52159,Hotel room,1350,1,4,364
Silom City Hotel Bangkok_Deluxe Room Breakfast,Silom City,Bang Rak,13.72459,100.52345,Hotel room,1500,1,4,365
Superior Suites,Apivudh,Khlong Toei,13.72272,100.56953,Private room,1250,1,4,179
Superior Suites,Apivudh,Khlong Toei,13.72281,100.56851,Private room,1250,1,4,179
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.77315,100.58113,Entire home/apt,1057,1,228,0
Jintana Residence @Ari 02,Phisit,Phaya Thai,13.77397,100.53416,Hotel room,678,1,11,58
Jintana Residence @Ari 03,Phisit,Phaya Thai,13.77568,100.53354,Hotel room,678,1,11,57
Bangson站走路200米metrosky一房，freewifi+超大游泳池+自带24小时711店,AliceGuo郭美,Bang Sue,13.82309,100.53632,Entire home/apt,800,30,17,145
The Tree Rio 虎妈猫爸亲子家,Charles,Bang Phlat,13.8013,100.50659,Entire home/apt,1280,60,28,365
F4.0/超值/四人高级公寓套房/曼谷中心/T21商场/asok轻轨站/素坤逸地铁站/无边际泳池/,Shin,Khlong Toei,13.73698,100.55754,Entire home/apt,2386,1,21,33
Lovely place for long term near NIDA and airport,Usa,Bueng Kum,13.77268,100.65663,Entire home/apt,1080,3,11,365
近Ekkamai BTS高端公寓/楼下便利店/WIFI泳池健身房,Cora,Khlong Toei,13.71123,100.57937,Entire home/apt,995,3,26,354
30days! Sukhumvit NANA spacious 2BR 4PPL near BTS,Curry,Ratchathewi,13.74949,100.55647,Entire home/apt,4193,2,228,337
บ้าน 2 ชั้น มัณฑนาพระรามเก้า,Nitsawan,Saphan Sung,13.74298,100.70356,Entire home/apt,3400,1,1,365
ให้เช่าทาวน์เฮ้าส์ หมู่บ้านพฤกษาวิลล์,Thauaon,Sai Mai,13.91973,100.6678,Entire home/apt,3390,1,1,365
[Staycation]Near Rot Fai Train Night Market Condo,Elements,Pra Wet,13.69655,100.64692,Entire home/apt,36950,1,6,365
Seacon Square Cozy Condo with Pool&Gym! #ES,Elements,Pra Wet,13.69453,100.64612,Entire home/apt,1200,3,6,365
Casa De Takumi (Groupie room1),Sandy,Khlong Toei,13.71357,100.58797,Private room,2100,1,3,180
30days! AirportLink Sukhumvit NANA MaxValu 2BR(4P),Curry,Ratchathewi,13.75112,100.55572,Entire home/apt,2527,3,228,361
Good location and New clean condo,태형,Khlong Toei,13.71202,100.5949,Entire home/apt,630,90,1,364
Silom City Hotel,Silom City,Bang Rak,13.72693,100.52287,Private room,1099,1,4,365
Apartment Sukhumvit 30 (500m. to Emquartier/BTS),Mo,Khlong Toei,13.72721,100.57161,Entire home/apt,1490,1,10,351
1. 2 Bed Family room Specialty Coffee Garden view,Kittipat,Suanluang,13.73554,100.65065,Private room,929,1,2,270
Srinakarin Train market in 3 mins cozy condo #ES,Elements,Pra Wet,13.69629,100.64506,Entire home/apt,1200,3,6,365
New!  La Chada Night Market 1BR 2PPL near MRT,Curry,Huai Khwang,13.77162,100.57948,Entire home/apt,1057,1,228,0
Near Rot Fai vintage night market with Pool #ES,Elements,Pra Wet,13.69681,100.64497,Entire home/apt,1200,3,6,365
บ้านเช่า พฤกษ์ลดา ประชาอุทิศ 90,Saksudasuriya,Thung khru,13.6013,100.50634,Entire home/apt,3400,1,1,365
"Breezy Haus  In Asoke (Pool, walk to BTS/MRT)IV",Max,Khlong Toei,13.72879,100.56195,Entire home/apt,8643,2,36,73
"Breezy Haus  In Asoke (Pool, walk to BTS/MRT)# III",Max,Khlong Toei,13.72722,100.56013,Entire home/apt,10143,2,36,44
Heaven Hostel - Double-Bed Room (L),Heaven,Bang Rak,13.72704,100.53585,Hotel room,1790,1,3,181
Superior Suites,Apivudh,Khlong Toei,13.7229,100.56815,Private room,1250,1,4,179
The Tree Rio 湄南河景观高层精装修③③,Charles,Bang Phlat,13.79942,100.50818,Entire home/apt,480,60,28,295
The Tree Rio 佛系高层精装修近湄南河城市景观,Charles,Bang Phlat,13.80095,100.50849,Entire home/apt,1080,180,28,365
Nice&Cozy StudioRoom near BITECH&True Digital Park,Auttapol,Phra Khanong,13.68622,100.60236,Entire home/apt,750,1,1,84
30days! Sukhumvit NANA spacious 1BR  near BTS ARL,Curry,Ratchathewi,13.74912,100.55503,Entire home/apt,1466,3,228,361
ถพนี่ก็จะไม่ทนนะแต่,류,Bang Sue,13.79844,100.53729,Entire home/apt,7374,1,1,365
Luxury condo at Ekkamai-Thong lo in Bangkok,Kittikun,Khlong Toei,13.72016,100.58346,Entire home/apt,1385,30,1,53
